creative_type,audience,impressions,clicks,conversions,spend,ctr,conversion_rate,cpa
Video,Prospecting 18-24,381332,9647,317,15185.05,0.025298165378200625,0.03285995646314917,47.902365930599366
Video,Prospecting 25-34,325644,5570,143,6397.79,0.017104568178747344,0.025673249551166965,44.73979020979021
Video,Retargeting,312934,8526,416,15338.63,0.027245361641751936,0.04879193056532958,36.871706730769226
Video,Lookalike,276953,8915,440,6216.28,0.03218957729289807,0.049355019629837356,14.12790909090909
Static,Prospecting 18-24,131757,2205,84,2665.75,0.01673535371934698,0.0380952380952381,31.735119047619047
Static,Prospecting 25-34,371563,4694,76,3728.3,0.012633120089998198,0.016190881976991905,49.05657894736842
Static,Retargeting,128747,1869,104,2740.49,0.01451684311090744,0.05564472980203317,26.350865384615382
Static,Lookalike,333963,9080,382,7752.93,0.02718864065779742,0.0420704845814978,20.29562827225131
Carousel,Prospecting 18-24,230084,3019,78,4769.8,0.01312129483145286,0.025836369658827428,61.15128205128205
Carousel,Prospecting 25-34,360590,6635,284,14289.66,0.018400399345517068,0.0428033157498116,50.315704225352114
Carousel,Retargeting,242336,3890,159,5424.89,0.01605209296183811,0.04087403598971722,34.11880503144654
Carousel,Lookalike,174048,5111,262,4918.6,0.029365462401176688,0.05126198395617296,18.773282442748094
